epoch,train_loss,train_acc,val_loss,val_acc
1,0.6320,0.6525,0.5693,0.6787
2,0.6093,0.6822,0.5561,0.6946
3,0.5935,0.7041,0.5591,0.6946
4,0.5845,0.7026,0.5728,0.6833
5,0.5740,0.7071,0.5267,0.7036
6,0.5638,0.7131,0.5337,0.7127
7,0.5548,0.7225,0.5241,0.7262
8,0.5493,0.7229,0.5050,0.7262
9,0.5450,0.7289,0.5299,0.7081
10,0.5463,0.7248,0.4981,0.7353
11,0.5254,0.7387,0.4902,0.7240
12,0.5369,0.7346,0.5477,0.7172
13,0.5382,0.7259,0.4883,0.7353
14,0.5300,0.7387,0.4821,0.7466
15,0.5290,0.7338,0.5038,0.7398
16,0.5264,0.7398,0.4757,0.7398
17,0.5230,0.7444,0.4725,0.7534
18,0.5030,0.7651,0.4568,0.7647
19,0.5098,0.7462,0.4619,0.7511
20,0.5017,0.7620,0.4561,0.7534
21,0.4965,0.7654,0.4540,0.7579
22,0.4930,0.7688,0.4609,0.7579
23,0.4699,0.7703,0.4378,0.7896
24,0.4896,0.7639,0.4444,0.7851
25,0.4868,0.7681,0.4356,0.7670
26,0.4827,0.7662,0.4229,0.8077
27,0.4672,0.7843,0.4298,0.7941
28,0.4746,0.7741,0.4341,0.7851
29,0.4725,0.7730,0.4332,0.7828
30,0.4596,0.7892,0.4221,0.8054
31,0.4723,0.7767,0.4204,0.8032
32,0.4630,0.7854,0.4135,0.8077
33,0.4560,0.7877,0.4248,0.8100
34,0.4598,0.7748,0.4087,0.8167
35,0.4548,0.7839,0.4064,0.8077
36,0.4534,0.7914,0.4033,0.8190
37,0.4491,0.8001,0.3935,0.8258
38,0.4636,0.7846,0.3986,0.8281
39,0.4526,0.7895,0.4001,0.8281
40,0.4330,0.8035,0.4013,0.8281
41,0.4386,0.7933,0.3987,0.8281
42,0.4378,0.7941,0.3999,0.8348
43,0.4317,0.8012,0.3948,0.8371
44,0.4365,0.7993,0.4028,0.8303
45,0.4448,0.7922,0.3953,0.8416
46,0.4376,0.7914,0.3973,0.8326
47,0.4445,0.7937,0.3952,0.8348
48,0.4349,0.8005,0.3921,0.8416
49,0.4349,0.7986,0.3905,0.8439
50,0.4337,0.7956,0.3959,0.8326
