epoch,train_loss,train_acc,val_loss,val_acc
1,0.3201,0.8818,0.1302,0.9570
2,0.1277,0.9567,0.0853,0.9729
3,0.0921,0.9699,0.0755,0.9751
4,0.0610,0.9793,0.0608,0.9864
5,0.0519,0.9823,0.0650,0.9819
6,0.0398,0.9876,0.0620,0.9864
7,0.0351,0.9876,0.0538,0.9887
8,0.0259,0.9910,0.0542,0.9887
9,0.0206,0.9928,0.0577,0.9864
10,0.0226,0.9936,0.0560,0.9864
11,0.0189,0.9944,0.0608,0.9864
12,0.0192,0.9944,0.0640,0.9864
13,0.0221,0.9932,0.0668,0.9842
14,0.0213,0.9921,0.0650,0.9864
15,0.0114,0.9966,0.0704,0.9864
16,0.0118,0.9966,0.0645,0.9864
17,0.0118,0.9970,0.0746,0.9887
