epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8037,1.52097,1.81882,1.63436,0.04776,0.35552,0.03036,0.01017,2.28455,14.2433,2.39239,0.000552417,0.000552417,0.000552417
2,101.857,1.76224,2.11624,1.81989,0.18688,0.33857,0.14625,0.05116,2.22955,6.21901,2.59583,0.00109711,0.00109711,0.00109711
3,151.327,1.79757,2.1712,1.83438,0.25192,0.2093,0.17588,0.07631,2.26371,3.21261,2.31753,0.00163081,0.00163081,0.00163081
4,200.703,1.72199,2.05127,1.75344,0.39528,0.33464,0.2815,0.12318,2.11853,2.87715,2.18985,0.00161749,0.00161749,0.00161749
5,250.018,1.64505,1.86431,1.70083,0.56614,0.37607,0.40569,0.18883,1.89741,2.21404,1.96343,0.00160099,0.00160099,0.00160099
6,299.29,1.59841,1.7602,1.64923,0.55351,0.54338,0.52689,0.26773,1.75495,1.73945,1.82062,0.00158448,0.00158448,0.00158448
7,348.668,1.56383,1.69525,1.64046,0.65404,0.57072,0.61132,0.32639,1.61619,1.53583,1.73462,0.00156798,0.00156798,0.00156798
8,397.936,1.51289,1.64432,1.60703,0.60698,0.6005,0.59057,0.31863,1.61449,1.47464,1.71762,0.00155148,0.00155148,0.00155148
9,446.945,1.48621,1.55359,1.575,0.64388,0.63465,0.65413,0.36185,1.64586,1.37059,1.71996,0.00153497,0.00153497,0.00153497
10,496.203,1.47855,1.53675,1.56954,0.71282,0.61622,0.66896,0.38601,1.5222,1.393,1.61522,0.00151847,0.00151847,0.00151847
11,545.674,1.43732,1.5044,1.556,0.69304,0.56693,0.6238,0.35899,1.55266,1.47696,1.66848,0.00150197,0.00150197,0.00150197
12,594.939,1.41002,1.44566,1.52665,0.74547,0.61684,0.67292,0.38921,1.48041,1.31513,1.59321,0.00148546,0.00148546,0.00148546
13,644.412,1.4248,1.43594,1.54073,0.70163,0.65359,0.69286,0.40165,1.46569,1.27822,1.57508,0.00146896,0.00146896,0.00146896
14,693.982,1.37631,1.35896,1.48841,0.79292,0.62988,0.69874,0.41415,1.49309,1.24469,1.59194,0.00145246,0.00145246,0.00145246
15,743.657,1.35745,1.33112,1.49474,0.786,0.61293,0.6975,0.41868,1.42913,1.22546,1.56461,0.00143595,0.00143595,0.00143595
16,793.281,1.36153,1.31128,1.48705,0.68528,0.59126,0.63437,0.37266,1.47518,1.35294,1.6048,0.00141945,0.00141945,0.00141945
17,842.783,1.34309,1.27409,1.47114,0.77131,0.66489,0.71202,0.42259,1.4231,1.16304,1.55311,0.00140295,0.00140295,0.00140295
18,892.5,1.31654,1.25139,1.4544,0.79457,0.66447,0.71056,0.4392,1.38746,1.18627,1.51316,0.00138644,0.00138644,0.00138644
19,942.217,1.29795,1.22549,1.44239,0.7905,0.66122,0.7316,0.44589,1.42607,1.09052,1.53785,0.00136994,0.00136994,0.00136994
20,991.958,1.30651,1.2311,1.46916,0.78338,0.68459,0.74559,0.4502,1.36518,1.09043,1.50396,0.00135344,0.00135344,0.00135344
21,1041.75,1.27178,1.17266,1.43899,0.77827,0.6903,0.73517,0.44913,1.37164,1.08722,1.51937,0.00133693,0.00133693,0.00133693
22,1091.19,1.2814,1.18126,1.43782,0.80201,0.7043,0.75895,0.46157,1.38942,1.03822,1.52439,0.00132043,0.00132043,0.00132043
23,1140.9,1.26235,1.17028,1.42457,0.79591,0.68171,0.73818,0.4527,1.40566,1.06259,1.52451,0.00130393,0.00130393,0.00130393
24,1190.37,1.24839,1.11477,1.41067,0.76495,0.69178,0.75316,0.45926,1.39227,1.01724,1.5236,0.00128742,0.00128742,0.00128742
25,1239.86,1.22249,1.08648,1.39137,0.77149,0.74971,0.77139,0.45702,1.40626,1.04234,1.51966,0.00127092,0.00127092,0.00127092
26,1289.21,1.22036,1.06686,1.4056,0.83024,0.69124,0.75931,0.46365,1.36648,1.00168,1.50466,0.00125442,0.00125442,0.00125442
27,1338.9,1.20006,1.07293,1.38619,0.83306,0.70686,0.76113,0.48059,1.3377,0.99254,1.47058,0.00123791,0.00123791,0.00123791
28,1388.63,1.19691,1.05215,1.37293,0.83187,0.6745,0.75782,0.47367,1.33165,1.00719,1.47309,0.00122141,0.00122141,0.00122141
29,1438.1,1.19504,1.05582,1.38434,0.81928,0.71966,0.76634,0.47818,1.35019,0.95394,1.49182,0.00120491,0.00120491,0.00120491
30,1487.43,1.16668,1.00917,1.36288,0.82689,0.71598,0.77433,0.46962,1.39527,0.95638,1.53791,0.0011884,0.0011884,0.0011884
31,1536.63,1.17374,1.00406,1.36811,0.79551,0.72415,0.77515,0.46469,1.37444,0.96006,1.50113,0.0011719,0.0011719,0.0011719
32,1585.85,1.16883,0.99223,1.36044,0.81611,0.70259,0.75498,0.46916,1.33754,0.95772,1.47591,0.0011554,0.0011554,0.0011554
33,1635.03,1.16592,1.00237,1.36203,0.83199,0.72641,0.79179,0.48777,1.35189,0.91609,1.4778,0.00113889,0.00113889,0.00113889
34,1684.45,1.13783,0.96022,1.33971,0.81888,0.73267,0.78533,0.48003,1.34908,0.90327,1.48024,0.00112239,0.00112239,0.00112239
35,1733.7,1.13924,0.96148,1.34094,0.89484,0.66824,0.77627,0.47588,1.32456,0.94057,1.47085,0.00110589,0.00110589,0.00110589
36,1783.18,1.11273,0.92501,1.32158,0.8333,0.71631,0.78267,0.49428,1.31494,0.90774,1.45524,0.00108938,0.00108938,0.00108938
37,1833,1.11361,0.91849,1.31018,0.81466,0.74945,0.78973,0.48363,1.35093,0.9212,1.48831,0.00107288,0.00107288,0.00107288
38,1882.59,1.09525,0.9062,1.3116,0.8469,0.71631,0.78617,0.49298,1.34418,0.89635,1.48021,0.00105638,0.00105638,0.00105638
39,1932.03,1.08459,0.88273,1.3063,0.84014,0.71793,0.7782,0.49474,1.29765,0.88337,1.44893,0.00103987,0.00103987,0.00103987
40,1981.67,1.07292,0.86403,1.29496,0.83726,0.72315,0.77974,0.49857,1.30189,0.88466,1.46328,0.00102337,0.00102337,0.00102337
41,2031.23,1.07139,0.88424,1.29739,0.86907,0.69989,0.78328,0.49296,1.32548,0.879,1.48459,0.00100687,0.00100687,0.00100687
42,2080.6,1.07189,0.8756,1.29528,0.83455,0.74809,0.79373,0.48541,1.3474,0.86021,1.49399,0.000990365,0.000990365,0.000990365
43,2129.75,1.06589,0.86651,1.28764,0.86148,0.72276,0.79501,0.5022,1.30356,0.86901,1.4536,0.000973861,0.000973861,0.000973861
44,2179.06,1.05968,0.85884,1.27908,0.877,0.74651,0.79853,0.51602,1.28259,0.83649,1.44654,0.000957358,0.000957358,0.000957358
45,2228.69,1.04321,0.82883,1.28059,0.84164,0.74531,0.79226,0.50073,1.30026,0.88339,1.45907,0.000940855,0.000940855,0.000940855
46,2277.85,1.03705,0.82879,1.27514,0.79085,0.76982,0.7999,0.50761,1.31806,0.85632,1.46276,0.000924352,0.000924352,0.000924352
47,2326.94,1.02928,0.82866,1.26332,0.85011,0.75253,0.80792,0.51494,1.29982,0.83864,1.45974,0.000907848,0.000907848,0.000907848
48,2376.04,0.99637,0.78826,1.26367,0.85005,0.75495,0.80185,0.5086,1.28792,0.9,1.44015,0.000891345,0.000891345,0.000891345
49,2425.17,1.01175,0.79383,1.25903,0.87264,0.73169,0.80205,0.51693,1.27612,0.8531,1.44065,0.000874842,0.000874842,0.000874842
50,2474.46,0.98579,0.7837,1.24579,0.85581,0.74994,0.80769,0.5113,1.28984,0.84768,1.46629,0.000858338,0.000858338,0.000858338
51,2523.52,0.98396,0.77884,1.25143,0.82926,0.76117,0.80421,0.51811,1.28017,0.82346,1.45453,0.000841835,0.000841835,0.000841835
52,2572.88,0.97405,0.75809,1.23201,0.83215,0.78929,0.81334,0.5179,1.31086,0.78309,1.47881,0.000825332,0.000825332,0.000825332
53,2621.94,0.96971,0.74614,1.23593,0.86431,0.75852,0.81651,0.51682,1.28278,0.81407,1.46005,0.000808828,0.000808828,0.000808828
54,2670.93,0.95737,0.73801,1.22413,0.86252,0.76269,0.81829,0.52188,1.28839,0.79219,1.49255,0.000792325,0.000792325,0.000792325
55,2720.37,0.96084,0.75575,1.23079,0.84739,0.75237,0.81238,0.51949,1.28157,0.80904,1.46126,0.000775822,0.000775822,0.000775822
56,2769.55,0.94777,0.73554,1.21609,0.89099,0.75455,0.81864,0.51698,1.2853,0.79004,1.46202,0.000759318,0.000759318,0.000759318
57,2818.66,0.92693,0.72687,1.21097,0.86223,0.7389,0.81014,0.51108,1.33736,0.81572,1.50932,0.000742815,0.000742815,0.000742815
58,2867.7,0.94148,0.71814,1.21784,0.84377,0.78068,0.81143,0.51116,1.30376,0.79239,1.48517,0.000726312,0.000726312,0.000726312
59,2916.76,0.90904,0.68739,1.19474,0.85427,0.74272,0.80571,0.51877,1.29703,0.81148,1.47767,0.000709809,0.000709809,0.000709809
60,2965.94,0.91337,0.70896,1.19719,0.85521,0.74052,0.7965,0.50992,1.31898,0.80576,1.49297,0.000693305,0.000693305,0.000693305
61,3015.13,0.90341,0.69561,1.18973,0.86285,0.73927,0.80661,0.51534,1.28488,0.81963,1.47968,0.000676802,0.000676802,0.000676802
62,3064.28,0.88948,0.67393,1.1771,0.86626,0.75536,0.80422,0.50578,1.31269,0.81346,1.49601,0.000660299,0.000660299,0.000660299
63,3113.52,0.89179,0.66247,1.17968,0.86097,0.75948,0.81097,0.51549,1.28631,0.79943,1.45267,0.000643795,0.000643795,0.000643795
64,3162.7,0.87812,0.66155,1.17147,0.85658,0.75577,0.81072,0.51549,1.29006,0.786,1.47928,0.000627292,0.000627292,0.000627292
65,3211.87,0.87098,0.66053,1.17923,0.84927,0.76381,0.81066,0.51355,1.30273,0.7962,1.50187,0.000610789,0.000610789,0.000610789
66,3261.06,0.87542,0.67203,1.18596,0.85804,0.75416,0.81753,0.52511,1.26186,0.76897,1.46298,0.000594286,0.000594286,0.000594286
67,3310.46,0.85644,0.65007,1.16544,0.86816,0.76964,0.81964,0.52103,1.29775,0.78363,1.49666,0.000577782,0.000577782,0.000577782
68,3359.59,0.85298,0.63931,1.166,0.857,0.74737,0.81122,0.52434,1.27691,0.78657,1.46456,0.000561279,0.000561279,0.000561279
69,3408.71,0.85515,0.64086,1.17103,0.87956,0.75567,0.82172,0.51697,1.32388,0.78357,1.51955,0.000544776,0.000544776,0.000544776
70,3457.83,0.8471,0.64203,1.15752,0.87649,0.75787,0.80907,0.52222,1.29124,0.77035,1.48612,0.000528272,0.000528272,0.000528272
71,3506.97,0.84822,0.63598,1.15039,0.85565,0.76731,0.81935,0.52144,1.28688,0.78549,1.47748,0.000511769,0.000511769,0.000511769
72,3556.11,0.83431,0.62048,1.15037,0.88108,0.74812,0.80329,0.51298,1.30224,0.80036,1.503,0.000495266,0.000495266,0.000495266
73,3605.61,0.81804,0.60793,1.15021,0.86538,0.76353,0.81033,0.51933,1.29778,0.77267,1.48783,0.000478762,0.000478762,0.000478762
74,3655.02,0.82527,0.60471,1.14719,0.8841,0.76262,0.81746,0.52493,1.28918,0.76451,1.4864,0.000462259,0.000462259,0.000462259
75,3704.25,0.79846,0.5941,1.12776,0.89241,0.74752,0.81586,0.52033,1.30349,0.80774,1.49688,0.000445756,0.000445756,0.000445756
76,3753.5,0.79132,0.58579,1.12308,0.86767,0.75901,0.80922,0.51615,1.30551,0.80762,1.51152,0.000429253,0.000429253,0.000429253
77,3802.74,0.79792,0.58916,1.13813,0.85808,0.7657,0.81434,0.5179,1.29265,0.78637,1.50825,0.000412749,0.000412749,0.000412749
78,3851.87,0.78908,0.59068,1.13087,0.84995,0.75537,0.80285,0.52109,1.29822,0.80136,1.50962,0.000396246,0.000396246,0.000396246
79,3901.07,0.78315,0.57761,1.12582,0.90819,0.74491,0.81354,0.52029,1.30547,0.7986,1.51134,0.000379743,0.000379743,0.000379743
80,3950.18,0.76515,0.5701,1.1169,0.8839,0.76492,0.81977,0.52122,1.30239,0.77922,1.50683,0.000363239,0.000363239,0.000363239
81,3999.28,0.77012,0.56922,1.12169,0.88107,0.74382,0.80871,0.5213,1.27794,0.80366,1.46863,0.000346736,0.000346736,0.000346736
82,4048.4,0.74568,0.56037,1.11411,0.86994,0.74263,0.80485,0.52443,1.27817,0.78995,1.48576,0.000330233,0.000330233,0.000330233
83,4097.59,0.75544,0.56685,1.11448,0.89342,0.73809,0.81131,0.51964,1.2874,0.78219,1.48674,0.000313729,0.000313729,0.000313729
84,4146.83,0.75941,0.55089,1.10913,0.87429,0.76423,0.81055,0.52177,1.28683,0.78234,1.50171,0.000297226,0.000297226,0.000297226
